"scenario","policy","policy_param","crit","metric","currency","value"
"cyclical",1,NA,"TRUE_TRUE_TRUE_TRUE_TRUE_TRUE","admitted","mean",562.728
"cyclical",1,NA,"TRUE_TRUE_TRUE_TRUE_TRUE_TRUE","admitted","median",589
"cyclical",1,NA,"TRUE_TRUE_TRUE_TRUE_TRUE_TRUE","admitted","q25",363
"cyclical",1,NA,"TRUE_TRUE_TRUE_TRUE_TRUE_TRUE","admitted","q025",186.9
"cyclical",1,NA,"TRUE_TRUE_TRUE_TRUE_TRUE_TRUE","admitted","q75",747
"cyclical",1,NA,"TRUE_TRUE_TRUE_TRUE_TRUE_TRUE","admitted","q975",921.05
"cyclical",1,NA,"TRUE_TRUE_TRUE_TRUE_TRUE_TRUE","dch_died","mean",230.059
"cyclical",1,NA,"TRUE_TRUE_TRUE_TRUE_TRUE_TRUE","dch_died","median",239
"cyclical",1,NA,"TRUE_TRUE_TRUE_TRUE_TRUE_TRUE","dch_died","q25",149
"cyclical",1,NA,"TRUE_TRUE_TRUE_TRUE_TRUE_TRUE","dch_died","q025",74
"cyclical",1,NA,"TRUE_TRUE_TRUE_TRUE_TRUE_TRUE","dch_died","q75",306
"cyclical",1,NA,"TRUE_TRUE_TRUE_TRUE_TRUE_TRUE","dch_died","q975",379.05
"cyclical",1,NA,"TRUE_TRUE_TRUE_TRUE_TRUE_TRUE","dch_died_ly","mean",5020.7987126
"cyclical",1,NA,"TRUE_TRUE_TRUE_TRUE_TRUE_TRUE","dch_died_ly","median",5199.3211
"cyclical",1,NA,"TRUE_TRUE_TRUE_TRUE_TRUE_TRUE","dch_died_ly","q25",3279.7984
"cyclical",1,NA,"TRUE_TRUE_TRUE_TRUE_TRUE_TRUE","dch_died_ly","q025",1609.47684
"cyclical",1,NA,"TRUE_TRUE_TRUE_TRUE_TRUE_TRUE","dch_died_ly","q75",6703.533125
"cyclical",1,NA,"TRUE_TRUE_TRUE_TRUE_TRUE_TRUE","dch_died_ly","q975",8246.609595
"cyclical",1,NA,"TRUE_TRUE_TRUE_TRUE_TRUE_TRUE","dch_surv","mean",332.667
"cyclical",1,NA,"TRUE_TRUE_TRUE_TRUE_TRUE_TRUE","dch_surv","median",346
"cyclical",1,NA,"TRUE_TRUE_TRUE_TRUE_TRUE_TRUE","dch_surv","q25",219
"cyclical",1,NA,"TRUE_TRUE_TRUE_TRUE_TRUE_TRUE","dch_surv","q025",107.975
"cyclical",1,NA,"TRUE_TRUE_TRUE_TRUE_TRUE_TRUE","dch_surv","q75",436.25
"cyclical",1,NA,"TRUE_TRUE_TRUE_TRUE_TRUE_TRUE","dch_surv","q975",548.05
"cyclical",1,NA,"TRUE_TRUE_TRUE_TRUE_TRUE_TRUE","int_died","mean",0
"cyclical",1,NA,"TRUE_TRUE_TRUE_TRUE_TRUE_TRUE","int_died","median",0
"cyclical",1,NA,"TRUE_TRUE_TRUE_TRUE_TRUE_TRUE","int_died","q25",0
"cyclical",1,NA,"TRUE_TRUE_TRUE_TRUE_TRUE_TRUE","int_died","q025",0
"cyclical",1,NA,"TRUE_TRUE_TRUE_TRUE_TRUE_TRUE","int_died","q75",0
"cyclical",1,NA,"TRUE_TRUE_TRUE_TRUE_TRUE_TRUE","int_died","q975",0
"cyclical",1,NA,"TRUE_TRUE_TRUE_TRUE_TRUE_TRUE","int_died_ly","mean",0
"cyclical",1,NA,"TRUE_TRUE_TRUE_TRUE_TRUE_TRUE","int_died_ly","median",0
